,Price,Rooms,Area,Floor,Max_house_floor,balcony\loggia,Bathroom,Year built,Link
173,4600000,3,56.1,3,5,,,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_561m_35et._2366144526
174,4800000,3,57,9,9,лоджия,раздельный,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_57m_99et._2377395156
175,1450000,1,16.7,9,9,,совмещенный,,https://www.avito.ru/perm/kvartiry/kvartira-studiya_167m_15et._2410630692
176,2800000,1,31.3,2,5,,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_313m_25et._2345404928
177,2950000,2,49,5,5,балкон,раздельный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_49m_55et._2396616229
178,8400000,3,88,22,25,,совмещенный,2011,https://www.avito.ru/perm/kvartiry/3-k._kvartira_88m_2225et._2310364852
179,2950000,1,30.4,4,5,,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_304m_45et._2339980112
180,2800000,1,30,3,5,балкон,совмещенный,1966,https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_35et._2380960052
181,3350000,2,44,4,5,балкон,совмещенный,1963,https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_45et._2371397260
182,2700000,1,27.4,2,5,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_274m_25et._2372748536
183,4800000,3,64,3,14,лоджия,раздельный,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_64m_314et._2346103208
184,3200000,2,40.4,4,5,балкон,совмещенный,1961,https://www.avito.ru/perm/kvartiry/2-k._kvartira_404m_45et._2384558365
185,9850000,3,98,11,15,лоджия,совмещенный,2015,https://www.avito.ru/perm/kvartiry/3-k._kvartira_98m_1115et._2371839489
186,6450000,2,53.2,20,25,балкон,совмещенный,2015,https://www.avito.ru/perm/kvartiry/2-k._kvartira_532m_2025et._2345248391
187,2670000,2,37.7,4,5,балкон,совмещенный,1974,https://www.avito.ru/perm/kvartiry/2-k._kvartira_377m_45et._2402540644
188,2650000,1,30,2,5,,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_25et._2342946052
189,2725000,1,32.9,2,6,,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_329m_26et._2388765562
190,2650000,2,45.7,2,5,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_457m_25et._2389353454
191,2799000,1,34.5,2,9,балкон,раздельный,1986,https://www.avito.ru/perm/kvartiry/1-k._kvartira_345m_29et._2315420201
192,2960000,1,33,5,5,балкон,совмещенный,1988,https://www.avito.ru/perm/kvartiry/1-k._kvartira_33m_55et._2392534290
193,2300000,2,46.3,3,5,балкон,раздельный,1984,https://www.avito.ru/perm/kvartiry/2-k._kvartira_463m_35et._2269347438
194,2470000,2,47,7,9,,совмещенный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_47m_79et._2384402760
195,2950000,1,32.8,2,5,балкон,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_328m_25et._2389502068
196,5400000,3,66.6,1,9,,раздельный,1984,https://www.avito.ru/perm/kvartiry/3-k._kvartira_666m_19et._2393575196
197,1900000,2,44.6,3,5,балкон,раздельный,1972,https://www.avito.ru/perm/kvartiry/2-k._kvartira_446m_35et._2306720295
198,4950000,2,50.1,9,20,лоджия,совмещенный,2021,https://www.avito.ru/perm/kvartiry/2-k._kvartira_501m_920et._2365952120
199,2690000,1,36.2,5,5,,совмещенный,1963,https://www.avito.ru/perm/kvartiry/1-k._kvartira_362m_55et._2340288301
200,5000000,3,68.6,3,9,балкон,совмещенный,1987,https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_39et._2334728953
201,4140000,3,46.5,2,5,балкон,раздельный,1972,https://www.avito.ru/perm/kvartiry/3-k._kvartira_465m_25et._2397596386
202,3430000,1,31.7,5,5,балкон,раздельный,1968,https://www.avito.ru/perm/kvartiry/1-k._kvartira_317m_55et._2348901930
203,5000000,3,68.6,3,9,балкон,совмещенный,1987,https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_39et._2334728953
204,4140000,3,46.5,2,5,балкон,раздельный,1972,https://www.avito.ru/perm/kvartiry/3-k._kvartira_465m_25et._2397596386
205,3430000,1,31.7,5,5,балкон,раздельный,1968,https://www.avito.ru/perm/kvartiry/1-k._kvartira_317m_55et._2348901930
