,Price,Rooms,Area,Floor,Max_house_floor,balcony_or_loggia,Bathroom,Year_built,District,Link
417,5600000,2,45.0,12,25,лоджия,совмещенный,2018.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_1225et._2336661501
418,3690000,1,29.9,8,8,балкон,совмещенный,2020.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_299m_88et._2377022586
419,5850000,2,74.0,4,9,лоджия,раздельный,2015.0,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_74m_49et._2247444846
420,2700000,2,59.6,2,2,лоджия,совмещенный,1950.0,Кировский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_596m_22et._2366678884
421,6700000,3,81.3,17,18,лоджия,раздельный,1995.0,Дзержинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_813m_1718et._2337283308
422,6500000,1,49.3,8,10,балкон,совмещенный,2003.0,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_493m_810et._2384169647
423,2600000,2,45.8,3,5,балкон,раздельный,1975.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_458m_35et._2400434525
424,2600000,1,31.0,3,5,балкон,раздельный,1966.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_35et._2383280560
425,7700000,3,86.0,14,14,лоджия,совмещенный,2019.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_86m_1414et._2329389998
426,4300000,1,37.9,21,25,лоджия,совмещенный,2017.0,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_379m_2125et._2371998307
427,2600000,1,30.1,5,5,балкон,раздельный,1968.0,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_301m_55et._2378310263
428,3100000,1,34.0,3,10,лоджия,раздельный,2006.0,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_310et._2360368511
429,4450000,3,53.7,5,9,лоджия,раздельный,1973.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_537m_59et._2398973896
430,3700000,3,60.0,3,5,лоджия,раздельный,1982.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_60m_35et._2358909519
431,1880000,1,33.8,4,5,лоджия,совмещенный,2015.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_338m_45et._2377688254
432,7200000,2,56.1,8,25,лоджия,совмещенный,2017.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_561m_825et._2382191444
433,4500000,1,43.0,11,25,балкон,совмещенный,2021.0,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_43m_1125et._2327854133
434,3350000,1,34.0,6,10,лоджия,раздельный,2010.0,Кировский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_610et._2421182655
435,3200000,1,35.4,15,16,лоджия,совмещенный,2018.0,Кировский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_354m_1516et._2377868019
436,4750000,2,57.0,5,10,лоджия,раздельный,1987.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_57m_510et._2382528268
437,3650000,3,63.6,2,5,лоджия,раздельный,1987.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_636m_25et._2400856520
438,3850000,2,44.9,4,5,балкон,совмещенный,1967.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_449m_45et._2399402224
439,3500000,1,31.2,2,5,балкон,раздельный,1966.0,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_312m_25et._2383776384
440,3900000,3,59.6,3,9,лоджия,раздельный,1975.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_596m_39et._2384756952
441,8300000,3,82.0,9,16,лоджия,совмещенный,2005.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_82m_916et._2394256019
442,3500000,2,47.8,24,24,балкон,совмещенный,2020.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_478m_2424et._2388871989
443,3850000,1,38.7,10,10,лоджия,раздельный,2004.0,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_387m_1010et._2376861506
444,6500000,3,65.0,10,16,лоджия,раздельный,2017.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_65m_1016et._2355762777
445,4000000,1,37.4,24,25,лоджия,совмещенный,2018.0,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_374m_2425et._2373016112
446,5130000,2,54.0,9,16,лоджия,раздельный,1999.0,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_54m_916et._2391226577
447,6200000,2,60.0,17,17,балкон,раздельный,2011.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_60m_1717et._2370897403
448,3000000,1,41.0,9,10,балкон,раздельный,2018.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_41m_910et._2377881894
449,5599000,2,63.4,25,25,балкон,раздельный,2013.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_634m_2525et._2381675313
450,4850000,3,66.3,8,9,балкон,раздельный,1986.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_663m_89et._2393131287
451,2470000,1,31.0,7,9,балкон,совмещенный,1983.0,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_79et._2381491144
452,3450000,2,45.0,4,5,балкон,раздельный,1966.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_45et._2397260735
453,4980000,3,71.8,4,4,балкон,раздельный,1959.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_718m_44et._2395258106
454,4200000,1,42.1,16,16,лоджия,раздельный,2008.0,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_421m_1616et._2342976110
455,4300000,2,53.0,7,10,балкон,раздельный,2001.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_53m_710et._2361529288
456,3890000,1,50.0,4,16,лоджия,совмещенный,2007.0,Кировский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_50m_416et._2399033085
