,Price,Rooms,Area,Floor,Max_house_floor,Year_built,Link
140,4000000,2,47.1,1,5,1984,https://www.avito.ru/perm/kvartiry/2-k._kvartira_471m_15et._2376587165
141,3290000,1,41.0,1,9,2018,https://www.avito.ru/perm/kvartiry/1-k._kvartira_41m_19et._2336677059
142,2100000,2,33.3,2,5,1970,https://www.avito.ru/perm/kvartiry/2-k._kvartira_333m_25et._2276146044
143,4800000,3,41.5,8,16,2015,https://www.avito.ru/perm/kvartiry/3-k._kvartira_415m_816et._2304611968
144,5500000,2,56.0,5,11,2008,https://www.avito.ru/perm/kvartiry/2-k._kvartira_56m_511et._2329605322
145,5150000,3,67.1,3,10,1988,https://www.avito.ru/perm/kvartiry/3-k._kvartira_671m_310et._2344350229
146,1550000,1,16.5,3,5,1974,https://www.avito.ru/perm/kvartiry/1-k._kvartira_165m_35et._2369082101
147,4400000,2,43.7,1,5,1979,https://www.avito.ru/perm/kvartiry/2-k._kvartira_437m_15et._2253163946
148,2800000,3,56.7,5,5,1967,https://www.avito.ru/perm/kvartiry/3-k._kvartira_567m_55et._2224775527
149,4900000,2,53.1,10,10,2006,https://www.avito.ru/perm/kvartiry/2-k._kvartira_531m_1010et._2383010719
150,5200000,3,60.5,8,9,1977,https://www.avito.ru/perm/kvartiry/3-k._kvartira_605m_89et._2347843017
151,5000000,3,68.3,5,10,2016,https://www.avito.ru/perm/kvartiry/3-k._kvartira_683m_510et._2373350355
152,5181000,2,50.5,7,9,1986,https://www.avito.ru/perm/kvartiry/2-k._kvartira_505m_79et._2417104355
153,2299000,1,22.0,2,5,2022,https://www.avito.ru/perm/kvartiry/kvartira-studiya_22m_1020et._2385107463
154,2650000,1,29.8,2,5,2017,https://www.avito.ru/perm/kvartiry/kvartira-studiya_298m_1017et._2390825628
155,3695000,1,40.0,3,20,2017,https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_320et._2385346375
156,3450000,2,56.0,9,10,2014,https://www.avito.ru/perm/kvartiry/2-k._kvartira_56m_910et._2395527491
157,3750000,1,28.0,1,5,2020,https://www.avito.ru/perm/kvartiry/apartamenty-studiya_28m_615et._2378513467
