,Price,Rooms,Area,Floor,Max_house_floor,Year_built,balcony_or_loggia_балкон,balcony_or_loggia_лоджия,Bathroom_раздельный,Bathroom_совмещенный,District_Дзержинский,District_Индустриальный,District_Кировский,District_Ленинский,District_Мотовилихинский,District_Орджоникидзевский,District_Свердловский
242,2900000,2,47.0,4,5,1971.0,1,0,1,0,0,1,0,0,0,0,0
243,8500000,3,68.2,12,20,2013.0,0,1,0,1,0,0,0,0,0,0,1
244,3400000,1,31.5,3,5,1966.0,1,0,1,0,0,0,0,0,0,0,1
245,2900000,1,37.3,8,9,1975.0,0,1,0,1,0,1,0,0,0,0,0
246,4150000,2,43.7,4,9,1981.0,0,1,1,0,1,0,0,0,0,0,0
247,3190000,3,61.0,2,5,1983.0,1,0,1,0,0,0,0,0,1,0,0
248,4200000,2,50.3,8,10,1991.0,0,1,1,0,1,0,0,0,0,0,0
249,2430000,1,33.2,4,5,1986.0,1,0,0,1,0,0,0,0,0,0,1
250,5995000,1,46.1,11,17,2005.0,1,0,0,1,0,0,0,0,0,0,1
251,3550000,1,34.4,8,10,1989.0,0,1,1,0,0,0,0,0,1,0,0
252,5180000,3,60.5,8,9,1977.0,0,1,1,0,1,0,0,0,0,0,0
253,7200000,3,106.0,3,12,2006.0,0,1,1,0,0,0,1,0,0,0,0
254,1700000,1,23.0,1,5,2015.0,0,1,0,1,0,0,0,0,0,1,0
255,4200000,1,43.0,8,9,2014.0,0,1,0,1,1,0,0,0,0,0,0
256,9300000,4,103.2,7,16,2005.0,0,1,1,0,1,0,0,0,0,0,0
257,3670000,1,36.9,4,10,1987.0,1,0,1,0,1,0,0,0,0,0,0
258,3700000,2,49.0,3,18,2020.0,0,1,1,0,0,0,0,0,0,1,0
259,3280000,1,40.2,6,17,2018.0,1,0,1,0,0,0,0,0,1,0,0
260,3600000,3,61.0,9,9,1979.0,1,0,1,0,0,0,0,0,0,0,1
261,7500000,2,57.7,14,25,2007.0,0,1,0,1,1,0,0,0,0,0,0
262,4500000,1,35.0,3,9,2015.0,0,1,0,1,0,0,0,0,1,0,0
263,4350000,3,56.8,1,9,1973.0,0,1,1,0,0,1,0,0,0,0,0
264,4650000,2,44.0,4,9,1976.0,0,1,0,1,0,0,0,1,0,0,0
265,8650000,3,74.2,2,25,2017.0,0,1,1,0,0,0,0,0,0,0,1
266,4590000,2,49.0,9,10,1994.0,0,1,1,0,1,0,0,0,0,0,0
